epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.654,1.6265,2.71482,1.54156,0.00544,0.96078,0.77554,0.45937,1.25218,2.89126,1.10906,0.00038,0.00038,0.00038
2,327.883,1.3818,1.61371,1.27735,1,0.33515,0.72612,0.42985,1.37298,2.91975,1.26184,0.000764556,0.000764556,0.000764556
3,454.76,1.41258,1.53641,1.33949,0.58889,0.12176,0.14709,0.06423,1.74633,3.49348,2.08299,0.00113327,0.00113327,0.00113327
4,580.172,1.349,1.38104,1.29602,0.89092,0.53384,0.631,0.37308,1.61069,2.54867,1.63599,0.00148615,0.00148615,0.00148615
5,704.772,1.45619,1.4266,1.36021,0.80402,0.38562,0.60266,0.32776,1.56847,2.62081,1.44707,0.00182318,0.00182318,0.00182318
6,830.161,1.43725,1.32649,1.36311,0.57018,0.62745,0.61453,0.32905,1.69095,2.02458,1.53365,0.001802,0.001802,0.001802
7,953.565,1.41795,1.20628,1.33411,0.73532,0.65369,0.73972,0.35361,1.71866,1.87416,1.5553,0.0017624,0.0017624,0.0017624
8,1078.27,1.37284,1.1772,1.30752,0.79257,0.73203,0.80089,0.4523,1.5057,1.56609,1.39399,0.0017228,0.0017228,0.0017228
9,1200.34,1.3529,1.11185,1.29598,0.87399,0.87582,0.92515,0.52077,1.43559,1.20963,1.34182,0.0016832,0.0016832,0.0016832
10,1328.55,1.30697,1.03051,1.29873,0.8353,0.86184,0.89922,0.50956,1.44747,1.21169,1.38348,0.0016436,0.0016436,0.0016436
11,1451.27,1.36341,1.05233,1.33529,0.93669,0.91503,0.96039,0.5531,1.42458,0.98838,1.36276,0.001604,0.001604,0.001604
12,1572.96,1.36733,0.98827,1.31001,0.95839,0.90331,0.96179,0.53098,1.5056,1.04786,1.43224,0.0015644,0.0015644,0.0015644
13,1699.27,1.38201,1.01695,1.31683,0.96021,0.90196,0.95613,0.55658,1.4215,0.88074,1.30402,0.0015248,0.0015248,0.0015248
14,1821.15,1.27219,0.89204,1.26111,0.97171,0.93464,0.97879,0.61391,1.35735,0.7564,1.29111,0.0014852,0.0014852,0.0014852
15,1942.55,1.28992,0.87552,1.27251,0.99222,0.94118,0.97769,0.58775,1.41218,0.82556,1.29984,0.0014456,0.0014456,0.0014456
16,2063.9,1.29052,0.83998,1.25603,0.97345,0.95842,0.97398,0.59353,1.37188,0.76378,1.28523,0.001406,0.001406,0.001406
