epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,34.5525,1.71451,1.48551,1.37348,0.97485,0.90196,0.95299,0.51046,1.49116,1.19407,1.29728,0.0013664,0.0013664,0.0013664
18,79.888,1.55446,1.14738,1.29978,0.94595,0.89542,0.96007,0.56314,1.37408,0.89874,1.21542,0.0013268,0.0013268,0.0013268
19,131.645,1.43226,1.00522,1.23902,0.96511,0.90402,0.97207,0.57805,1.34884,0.78302,1.20978,0.0012872,0.0012872,0.0012872
20,182.71,1.40153,0.9246,1.23137,0.94723,0.93849,0.96552,0.58106,1.33978,0.74174,1.21722,0.0012476,0.0012476,0.0012476
21,234.194,1.38277,0.92992,1.22334,0.98692,0.9281,0.97564,0.57537,1.33623,0.72201,1.21263,0.001208,0.001208,0.001208
22,285.851,1.33696,0.87978,1.19104,0.97274,0.93299,0.96651,0.57359,1.32306,0.70918,1.19896,0.0011684,0.0011684,0.0011684
23,337.486,1.35107,0.84221,1.19896,0.97053,0.94118,0.97401,0.59068,1.37464,0.66843,1.21268,0.0011288,0.0011288,0.0011288
24,389.775,1.3623,0.85795,1.20159,0.97237,0.93464,0.97246,0.58807,1.33538,0.67482,1.19101,0.0010892,0.0010892,0.0010892
25,441.342,1.28178,0.80228,1.17317,0.9796,0.94161,0.97368,0.57967,1.28484,0.64384,1.17369,0.0010496,0.0010496,0.0010496
26,492.784,1.28784,0.81282,1.17187,0.97077,0.96732,0.98077,0.60609,1.27394,0.63821,1.17676,0.00101,0.00101,0.00101
27,543.85,1.32289,0.79252,1.20183,0.95984,0.95425,0.97375,0.6221,1.3388,0.63593,1.19028,0.0009704,0.0009704,0.0009704
28,595.038,1.25694,0.76918,1.14124,0.97861,0.96078,0.97353,0.61142,1.3343,0.61374,1.19726,0.0009308,0.0009308,0.0009308
29,646.265,1.28936,0.77531,1.14752,0.9611,0.96895,0.97922,0.62401,1.30682,0.62202,1.16578,0.0008912,0.0008912,0.0008912
30,698.108,1.23016,0.74901,1.14891,0.96699,0.97386,0.97566,0.61076,1.29815,0.62408,1.17847,0.0008516,0.0008516,0.0008516
31,751.361,1.27859,0.7353,1.16974,0.98671,0.9706,0.98289,0.61235,1.28167,0.62733,1.15672,0.000812,0.000812,0.000812
32,802.159,1.23508,0.72499,1.12876,0.98659,0.96152,0.97977,0.61106,1.25054,0.61702,1.14873,0.0007724,0.0007724,0.0007724
33,853.571,1.18741,0.68214,1.11712,0.97006,0.96078,0.97812,0.62354,1.27083,0.59518,1.1485,0.0007328,0.0007328,0.0007328
34,904.401,1.18435,0.67386,1.11793,0.96725,0.95425,0.97337,0.61088,1.26779,0.58521,1.14505,0.0006932,0.0006932,0.0006932
35,955.863,1.19569,0.6664,1.12031,0.97843,0.97386,0.98476,0.5989,1.32475,0.57995,1.16312,0.0006536,0.0006536,0.0006536
36,1008.11,1.22025,0.67343,1.11961,0.97838,0.97386,0.98437,0.6356,1.24867,0.55295,1.14736,0.000614,0.000614,0.000614
37,1059.8,1.17488,0.68493,1.12825,0.98673,0.97213,0.98412,0.61666,1.26585,0.54809,1.15539,0.0005744,0.0005744,0.0005744
38,1111.74,1.15341,0.6334,1.10608,0.9985,0.96732,0.98486,0.62701,1.25561,0.55052,1.15041,0.0005348,0.0005348,0.0005348
39,1163.13,1.21462,0.68332,1.14873,0.98675,0.97333,0.98643,0.62405,1.25915,0.55563,1.14455,0.0004952,0.0004952,0.0004952
40,1215,1.18223,0.6362,1.10895,0.98566,0.97386,0.98473,0.61656,1.2455,0.54585,1.14569,0.0004556,0.0004556,0.0004556
41,1266.21,1.12132,0.56952,1.09782,0.96673,0.98039,0.9848,0.62559,1.25534,0.54334,1.1458,0.000416,0.000416,0.000416
42,1317.07,1.11062,0.55044,1.08943,0.98593,0.95425,0.98084,0.63037,1.25878,0.52624,1.15167,0.0003764,0.0003764,0.0003764
43,1367.87,1.07987,0.53266,1.09675,0.97979,0.96732,0.9824,0.60996,1.25627,0.53303,1.15424,0.0003368,0.0003368,0.0003368
44,1418.51,1.06599,0.52634,1.06511,0.98583,0.96732,0.98624,0.6295,1.26795,0.52945,1.15861,0.0002972,0.0002972,0.0002972
45,1469.4,1.07767,0.53583,1.05786,0.97836,0.97386,0.98641,0.62974,1.25615,0.52406,1.14754,0.0002576,0.0002576,0.0002576
46,1518.82,1.06814,0.54044,1.06743,0.98593,0.97386,0.98712,0.64141,1.23744,0.52024,1.14208,0.000218,0.000218,0.000218
47,1568.9,1.05582,0.51732,1.05094,0.98509,0.97386,0.98848,0.63848,1.2397,0.51259,1.1425,0.0001784,0.0001784,0.0001784
48,1619.08,1.04909,0.51603,1.04983,0.9789,0.97386,0.98821,0.64161,1.23347,0.50804,1.14203,0.0001388,0.0001388,0.0001388
49,1669.58,1.02756,0.50266,1.04911,0.97917,0.96732,0.98446,0.63519,1.22162,0.49954,1.1374,9.92e-05,9.92e-05,9.92e-05
50,1719.56,1.04297,0.50148,1.06205,0.98498,0.96078,0.98409,0.63556,1.2243,0.49843,1.1381,5.96e-05,5.96e-05,5.96e-05
